Итерация	Значение_функции
0	86545809009403.0
1	86994089537958.4
2	86819138920856.34
3	82502950832828.16
4	83666219729175.28
5	79877386445833.28
6	80623437574531.94
7	81135086933889.72
8	81913356088014.0
9	81907295774687.58
10	81879545945106.23
11	78921275105569.75
12	78516672719515.81
13	80628738063095.33
14	76847692143287.5
15	80978152741352.27
16	76636525498761.5
17	75849202255046.55
18	75374504911253.55
19	75699066699470.22
20	75018532708069.11
21	73131011396923.27
22	74593949866002.97
23	70902692821107.48
24	72713247737580.23
25	71206296162048.17
26	71602413034520.58
27	73431673897853.86
28	70517793309929.03
29	71429145450915.98
30	70601473328359.75
31	66871270938628.33
32	65832264689699.2
33	64357663366789.61
34	65750613716756.88
35	63945412082914.06
36	64120046615414.695
37	66675246345284.05
38	65529679362876.445
39	65058310135843.27
40	64837885228287.74
41	65055503386811.82
42	64797428971887.88
43	64346750155422.81
44	63713375947839.08
45	64153965477369.47
46	63491518451239.2
47	64627504581560.945
48	64101152440346.836
49	64437576613333.23
50	63198671524302.055
51	62254850930859.85
52	62531912578924.234
53	62536871148183.75
54	61744068384174.06
55	62023859584845.31
56	61962496083989.19
57	61648525695548.19
58	61686722457597.81
59	61920745788798.69
60	61979156881476.44
61	62202869103948.57
62	61851909420572.72
63	62194290019206.22
64	61473337604000.766
65	61585839035900.23
66	61260602877134.56
67	61477962644735.805
68	61070830910230.59
69	60825130842811.36
70	60716915613760.97
71	60914925508211.26
72	60327299505968.28
73	60556682380995.93
74	59917366917867.25
75	60455088058099.57
76	60154798731371.195
77	60091123768167.13
78	59946754761453.055
79	59863479590056.93
80	59756846980781.89
81	59567694735552.74
82	59678608249624.44
83	59591659278226.836
84	59779400818376.16
85	59800816429129.38
86	59459670529854.41
87	59345515601897.69
88	59267480468803.375
89	59459231571970.91
90	59500042072239.164
91	58933938367634.61
92	58617627919665.12
93	58434905658237.04
94	58241043252563.2
95	58596798375055.22
96	57733881046506.99
97	57457441225130.02
98	58023318363866.66
99	57976229009012.67
100	57563090596914.336
101	57160687978903.48
102	57116897103205.375
103	56938181375982.31
104	57186541719641.45
105	57148693713040.96
106	56599965860556.16
107	56332094431213.78
108	56285232871603.695
109	55861632414471.79
110	55916171110180.9
111	56080045560895.59
112	55820211082839.34
113	55473809241360.88
114	56069673987033.87
115	55594878849919.914
116	55425273694498.87
117	55198498973182.336
118	55158953048361.02
119	55571585514096.81
120	55497667468630.336
121	55515369141445.055
122	55157753197963.625
123	55034221856279.38
124	55019196482865.78
125	55399601987147.8
126	54999031654003.84
127	54714563897789.75
128	54430618838431.875
129	54071993974474.16
130	54220778518140.43
131	54149075643318.14
132	53641659176648.74
133	53857999392079.77
134	53740794287792.16
135	53217119660861.875
136	52648968052657.49
137	52033838046028.59
138	51342836647689.7
139	50400503417980.05
140	50087503511512.0
141	50569038323015.4
142	50472360017813.81
143	50074366735952.984
144	50177849169276.54
145	50856631521446.67
146	49550355860938.49
147	49190871495820.805
148	49566854763753.72
149	49363590367325.086
150	49509653505506.516
151	49335654902760.71
152	49466330658247.305
153	49202299479049.68
154	49071341109322.24
155	48804223619423.875
156	48594067365503.45
157	48488265350462.57
158	48664544646559.81
159	47916745918933.586
160	47724545034425.35
161	47861265264687.04
162	48221594175014.14
163	47459948082947.75
164	47810228146543.76
165	47599974228690.17
166	47789243454674.4
167	47704599545298.01
168	46886624822857.3
169	47083159795142.72
170	47405319129493.02
171	46759416225650.29
172	47306616292070.47
173	46780352609770.02
174	46585839059092.586
175	46150983999428.91
176	45925754497118.2
177	46269735743373.94
178	45960203528381.17
179	45900937055278.87
180	45892998116123.22
181	46150440353395.91
182	45745122313472.24
183	45523764684496.33
184	45508149582690.48
185	45541242244670.35
186	45493561919800.57
187	45555082330415.58
188	45319557227754.24
189	45040876210873.03
190	45069436271968.92
191	45177863562806.57
192	44525512397262.83
193	44555578594518.305
194	44321779004835.4
195	44487549632922.1
196	44303803231239.16
197	44123741383305.72
198	44185502352974.336
199	43730190487058.39
200	43760934033451.53
201	43498125630871.664
202	43161470285242.836
203	43069880085086.47
204	43301830294738.31
205	42701055830065.945
206	42847367259847.69
207	42536676208880.64
208	42415505210249.87
209	42074764056903.336
210	41734554435377.49
211	41465443887157.27
212	40832039795277.016
213	41136543436014.62
214	40208158165294.74
215	40215902718154.64
216	40118330147922.18
217	40277591930447.45
218	39937226352534.84
219	38928924021638.734
220	38905366755844.95
221	38717698146770.055
222	38344977626026.1
223	38335792816690.92
224	38034735951005.06
225	37321746276340.34
226	38268085697108.16
227	36859816049040.42
228	36224949843547.68
229	36281033173886.695
230	34676690477732.484
231	35264783396741.63
232	34749256715107.934
233	34888480822465.45
234	35571288631976.73
235	34308341261625.332
236	34743726976868.47
237	34002068689593.914
238	33888944091540.438
239	33330636947685.832
240	33567916304607.668
241	33067902212724.75
242	33837905104493.035
243	32713170299529.938
244	33104117471093.86
245	33380053357198.51
246	33290148057634.312
247	33009585078357.215
248	32638256669527.953
249	32541028991442.223
250	33054989076831.598
251	33542656103161.777
252	32967832807813.973
253	33090405212491.06
254	32570241102322.168
255	32498953484099.266
256	32418872755172.91
257	31853650894258.957
258	32037825107853.65
259	31186838231859.234
260	31303315969218.562
