Итерация	Выходные_значения (разделены пробелами)
0	9403.0 9403.0
1	9427.062213180061 9427.062213180061
2	9417.67883710523 9417.67883710523
3	9183.113498335526 9183.113498335526
4	9246.924057841978 9246.924057841978
5	9037.41497508065 9037.41497508065
6	9079.055494062439 9079.055494062439
7	9107.50170273546 9107.50170273546
8	9150.599763488794 9150.599763488794
9	9150.264955543418 9150.264955543418
10	9148.731730798383 9148.731730798383
11	8983.764691648805 8983.764691648805
12	8960.963418870142 8960.963418870142
13	9079.350647681378 9079.350647681378
14	8866.281545468479 8866.281545468479
15	9098.786181049836 9098.786181049836
16	8854.229006023732 8854.229006023732
17	8809.14474826532 8809.14474826532
18	8781.849163771029 8781.849163771029
19	8800.521058572855 8800.521058572855
20	8761.323957646879 8761.323957646879
21	8651.667170106166 8651.667170106166
22	8736.778905197596 8736.778905197596
23	8520.373674165958 8520.373674165958
24	8627.206326162926 8627.206326162926
25	8538.38231851993 8538.38231851993
26	8561.820904861952 8561.820904861952
27	8669.228313517187 8669.228313517187
28	8497.487320706805 8497.487320706805
29	8551.576506330899 8551.576506330899
30	8502.468287346122 8502.468287346122
31	8277.485611748323 8277.485611748323
32	8213.708441981724 8213.708441981724
33	8122.322815660517 8122.322815660517
34	8208.675212915376 8208.675212915376
35	8096.587526865286 8096.587526865286
36	8107.499397896149 8107.499397896149
37	8265.491187737487 8265.491187737487
38	8195.040417112283 8195.040417112283
39	8165.873178254007 8165.873178254007
40	8152.197539810828 8152.197539810828
41	8165.699187215336 8165.699187215336
42	8149.685022641457 8149.685022641457
43	8121.642609048422 8121.642609048422
44	8082.065894225443 8082.065894225443
45	8109.617061336943 8109.617061336943
46	8068.156527275995 8068.156527275995
47	8139.1233709541875 8139.1233709541875
48	8106.31953098554 8106.31953098554
49	8127.3019505439015 8127.3019505439015
50	8049.759211212142 8049.759211212142
51	7990.174327787041 7990.174327787041
52	8007.712221048293 8007.712221048293
53	8008.025742255505 8008.025742255505
54	7957.7393935034725 7957.7393935034725
55	7975.522812922948 7975.522812922948
56	7971.626012204693 7971.626012204693
57	7951.657512117841 7951.657512117841
58	7954.0895366454615 7954.0895366454615
59	7968.973616732344 7968.973616732344
60	7972.684222900329 7972.684222900329
61	7986.879553788158 7986.879553788158
62	7964.598490235094 7964.598490235094
63	7986.33565169654 7986.33565169654
64	7940.493453607386 7940.493453607386
65	7947.6645588323 7947.6645588323
66	7926.915284402128 7926.915284402128
67	7940.788393828456 7940.788393828456
68	7914.782844220037 7914.782844220037
69	7899.046790147647 7899.046790147647
70	7892.105980148683 7892.105980148683
71	7904.801438877638 7904.801438877638
72	7867.065050461546 7867.065050461546
73	7881.8174209572735 7881.8174209572735
74	7840.63091162643 7840.63091162643
75	7875.287007578838 7875.287007578838
76	7855.95247042652 7855.95247042652
77	7851.846474248267 7851.846474248267
78	7842.528963692065 7842.528963692065
79	7837.149318852505 7837.149318852505
80	7830.255298044925 7830.255298044925
81	7818.011060353227 7818.011060353227
82	7825.193087670964 7825.193087670964
83	7819.563411904022 7819.563411904022
84	7831.713963316572 7831.713963316572
85	7833.098759313519 7833.098759313519
86	7811.009695366969 7811.009695366969
87	7803.604065247258 7803.604065247258
88	7798.5375533931665 7798.5375533931665
89	7810.981232253125 7810.981232253125
90	7813.627036902 7813.627036902
91	7776.844296965894 7776.844296965894
92	7756.2149860037825 7756.2149860037825
93	7744.2727352242455 7744.2727352242455
94	7731.581962138101 7731.581962138101
95	7754.854562125944 7754.854562125944
96	7698.281452987163 7698.281452987163
97	7680.06868157868 7680.06868157868
98	7717.303877104376 7717.303877104376
99	7714.2123034033175 7714.2123034033175
100	7687.034373800299 7687.034373800299
101	7660.468766633654 7660.468766633654
102	7657.572169390631 7657.572169390631
103	7645.7392857384475 7645.7392857384475
104	7662.178370812161 7662.178370812161
105	7659.675502650976 7659.675502650976
106	7623.2948800996 7623.2948800996
107	7605.470966142519 7605.470966142519
108	7602.348489906433 7602.348489906433
109	7574.063981991171 7574.063981991171
110	7577.711622054116 7577.711622054116
111	7588.661132225635 7588.661132225635
112	7571.292463507773 7571.292463507773
113	7548.074196314965 7548.074196314965
114	7587.968615014749 7587.968615014749
115	7556.197344649867 7556.197344649867
116	7544.815221814041 7544.815221814041
117	7529.569231500085 7529.569231500085
118	7526.907367190876 7526.907367190876
119	7554.635169244849 7554.635169244849
120	7549.675661468804 7549.675661468804
121	7550.8636502015115 7550.8636502015115
122	7526.826589495462 7526.826589495462
123	7518.505364880508 7518.505364880508
124	7517.492600289419 7517.492600289419
125	7543.090888844816 7543.090888844816
126	7516.133200427816 7516.133200427816
127	7496.929355502378 7496.929355502378
128	7477.71094791292 7477.71094791292
129	7453.36616571083 7453.36616571083
130	7463.4759801792625 7463.4759801792625
131	7458.605549685316 7458.605549685316
132	7424.0466389301955 7424.0466389301955
133	7438.800950062685 7438.800950062685
134	7430.81129755509 7430.81129755509
135	7395.006487554817 7395.006487554817
136	7355.960862994062 7355.960862994062
137	7313.4484151974875 7313.4484151974875
138	7265.391590166187 7265.391590166187
139	7199.331194611273 7199.331194611273
140	7177.2525392510015 7177.2525392510015
141	7211.191061686095 7211.191061686095
142	7204.390192733605 7204.390192733605
143	7176.324379844147 7176.324379844147
144	7183.632483556224 7183.632483556224
145	7231.383562410263 7231.383562410263
146	7139.201364771382 7139.201364771382
147	7113.620426620419 7113.620426620419
148	7140.373197254059 7140.373197254059
149	7125.922740836193 7125.922740836193
150	7136.309650546244 7136.309650546244
151	7123.934431330974 7123.934431330974
152	7133.230456277832 7133.230456277832
153	7114.435078602926 7114.435078602926
154	7105.093939571199 7105.093939571199
155	7086.001976262093 7086.001976262093
