��������	��������� (��������� ���������)
0	10.0 10.0 10.0 0.0 0.0 0.0
1	10.041287972149862 9.585766304110894 10.308516402680668 0.0 0.0 0.0
2	10.377519463293075 10.184469719338685 9.718313645136735 0.0 0.0 0.0
3	9.697853400518797 10.768761745503674 10.822826248086605 0.0 0.0 0.0
4	10.882128701035937 10.656206571032113 10.616325007156604 0.0 0.0 0.0
5	9.735320833849112 11.841049042732733 10.744837427714973 0.0 0.0 0.0
6	9.699111960517529 12.70954846886342 9.397664055983608 0.0 0.0 0.0
7	10.623341920845947 11.54684033713998 10.653177361186316 0.0 0.0 0.0
8	9.73170937391747 11.175508533137348 10.608221580645798 0.0 0.0 0.0
9	10.453192853781482 10.912595870583871 11.031701204346868 0.0 0.0 0.0
10	9.721213104312058 11.72753583278322 9.972884187752815 0.0 0.0 0.0
11	9.35527175540744 11.712983923030324 11.283104227653219 0.0 0.0 0.0
12	9.2944042517651 12.124616309437732 10.974632354135723 0.0 0.0 0.0
13	9.738020665393147 11.617272018525338 10.666988232336193 0.0 0.0 0.0
14	9.609718394736083 12.256639689262121 11.64236132886358 0.0 0.0 0.0
15	9.143916065992109 11.355873308328883 10.735869635125413 0.0 0.0 0.0
16	9.827566420676279 12.425906152990482 11.572753106799958 0.0 0.0 0.0
17	10.604740395100746 13.154429920797838 11.206917249074342 0.0 0.0 0.0
18	11.56305327218851 13.512240190772715 11.174456135463796 0.0 0.0 0.0
19	10.737659824360955 13.764914708130075 10.593715030449538 0.0 0.0 0.0
20	11.480233486726767 14.046853292790399 10.71341150406411 0.0 0.0 0.0
21	11.675519037557649 14.528500221955778 11.095064387406895 0.0 0.0 0.0
22	11.652491009156218 14.480526355708106 10.450457965001496 0.0 0.0 0.0
23	11.594061340931066 15.144510485731697 11.460251881750974 0.0 0.0 0.0
24	11.114228447881976 14.036616886206705 11.766838599160657 0.0 0.0 0.0
25	12.55290916769624 15.85688002173219 10.685827022536715 0.0 0.0 0.0
26	11.829294653279872 14.688784324406058 11.679997813779076 0.0 0.0 0.0
27	11.523235405917545 14.097686602517152 11.418184149128361 0.0 0.0 0.0
28	11.037870381825677 15.137857593093758 11.562149094831016 0.0 0.0 0.0
29	11.545495399518893 14.828130953432023 11.554805271931867 0.0 0.0 0.0
30	11.019891115638659 14.743947417166344 11.969430703843512 0.0 0.0 0.0
31	11.496012640847415 15.994189580233229 12.497654839979331 0.0 0.0 0.0
32	11.417580940640816 15.933357632574817 13.092320991640158 0.0 0.0 0.0
33	11.614477922326166 15.848315608172983 14.008590389146688 0.0 0.0 0.0
34	11.827896151648574 16.32785558459268 12.747044393846929 0.0 1.0 0.0
35	11.754983475002923 15.517350671310764 14.649807339107564 0.0 0.0 0.0
36	10.9672110499612 14.93273002586097 15.115324382562632 0.0 0.0 0.0
37	12.097402384058444 14.508977313471956 14.455785572794323 0.0 0.0 0.0
38	12.052024132258005 15.243524552078306 14.186158545970919 1.0 0.0 0.0
39	11.574636527751943 15.39405578981877 14.16165061492988 0.0 0.0 0.0
40	11.43509412316055 15.574358488552162 14.041066830052552 0.0 0.0 0.0
41	11.268945327022312 15.365389229152031 14.15072901565515 1.0 0.0 0.0
42	11.978390329446711 15.074694505821794 14.75961014327404 0.0 0.0 0.0
43	11.813638538066218 15.524108348863937 14.43473188459603 0.0 0.0 0.0
44	11.963122166779664 15.526553179553035 14.805044565896125 0.0 0.0 0.0
45	11.908514323677455 15.345114330955813 14.77126551846933 0.0 0.0 0.0
46	11.866697185313628 15.693523765711115 14.708667985346853 0.0 0.0 0.0
47	11.910237324812593 15.66460048932886 14.134956440114717 0.0 0.0 0.0
48	12.138803522284059 15.693301534471843 14.428813354101285 0.0 0.0 0.0
49	11.826415582214302 15.668799303134703 14.216458333624052 0.0 0.0 0.0
50	12.002370889399936 15.807584092567879 14.759267486063516 0.0 0.0 0.0
51	11.743868566069454 16.302746218998198 14.634283352051618 0.0 0.0 1.0
52	11.581635803455617 16.441897576082106 14.28826807614643 0.0 0.0 1.0
53	11.859811939137206 16.377313868391415 14.413000188861814 0.0 0.0 1.0
54	11.598523088355616 16.389588438130826 14.796477815752176 0.0 0.0 0.0
55	11.771451501737141 16.416178007679378 14.642126517983662 0.0 0.0 0.0
56	11.677795924908903 16.467311773171904 14.59837365327768 0.0 0.0 0.0
57	11.66167895518276 16.434398562695296 14.799688668769093 0.0 0.0 1.0
58	11.413344182667311 16.269309587924525 14.93682995239085 0.0 0.0 0.0
59	11.538797971277548 16.27473584542808 14.814372878787134 0.0 0.0 1.0
60	11.780013224154127 16.33734178332541 14.752814734339381 0.0 0.0 1.0
61	11.585874986549303 16.307630469560745 14.627864673591173 0.0 0.0 1.0
62	11.639700337842683 16.483857657140025 14.62434497023433 0.0 0.0 1.0
63	11.883568684574955 16.34882990376393 14.639710870718122 0.0 0.0 1.0
64	11.496996127498543 16.432807635753083 14.868738488288917 0.0 0.0 1.0
65	11.54674253067568 16.3428026037435 14.921681688158332 0.0 0.0 1.0
66	11.574996921225209 16.46074305507864 14.96901284524266 0.0 0.0 1.0
67	11.559866971504423 16.36653725183452 14.956224528305482 0.0 0.0 1.0
68	11.50317095056615 16.50366734176912 15.020079660527294 0.0 0.0 0.0
69	11.538106589847452 16.657066925433494 14.983121230962507 0.0 0.0 0.0
70	11.699123955078823 16.658849907701512 15.071938106158326 0.0 0.0 0.0
71	11.68790517467234 16.673677784348236 14.940938854822672 0.0 0.0 0.0
72	11.748078713609003 16.772759452011922 15.166541696544988 0.0 0.0 0.0
73	11.709724329596849 16.748754812535243 15.05801859368773 0.0 0.0 0.0
74	11.678951741429834 16.92359822150458 15.207859471749979 0.0 0.0 0.0
75	11.808391459172356 16.78852899050449 15.087050275145002 0.0 0.0 0.0
76	11.652185535583886 16.851736227677318 15.152888498142708 0.0 0.0 0.0
77	11.791084129910159 16.94979843332703 15.099477617354037 0.0 0.0 0.0
78	11.623451709696528 16.803304421008132 15.323061650014067 0.0 0.0 0.0
79	11.616994326554234 16.9753737037309 15.165783016145188 0.0 0.0 0.0
80	11.55772362679802 16.994034027741794 15.193395683339336 0.0 0.0 0.0
81	11.515804395623666 17.04792777824746 15.229858697732306 0.0 0.0 0.0
82	11.546001424545203 17.085691895806047 15.118981087172335 0.0 1.0 0.0
83	11.501766155734135 17.003799736661144 15.265658814181222 0.0 0.0 0.0
84	11.514690028110557 17.067168557410735 15.086457393628548 0.0 0.0 0.0
85	11.331606221298772 16.942194501957758 15.187964356236312 0.0 0.0 0.0
86	11.445182028257634 17.07096565442973 15.251323986078688 0.0 0.0 0.0
87	11.387807419446533 17.10129668196703 15.270281010483107 0.0 0.0 0.0
88	11.298148334114481 17.09796411304957 15.30252837680556 0.0 0.0 0.0
89	11.264530059080597 17.076044237294454 15.21263520825441 0.0 0.0 0.0
90	11.373691061221448 16.960701389018027 15.336554883982513 0.0 0.0 1.0
91	11.402151101918394 17.17279564383701 15.42470232196403 0.0 0.0 0.0
92	11.477418219834497 17.24440026849975 15.536484364342089 0.0 0.0 0.0
93	11.52327395270231 17.282263288813162 15.606054858013565 0.0 0.0 0.0
94	11.45007968240038 17.399372240025453 15.566550887378048 0.0 0.0 0.0
95	11.375832174030691 17.32415172230825 15.435630249489016 0.0 0.0 0.0
96	11.49872424898726 17.539170115802186 15.705983148876205 0.0 0.0 0.0
97	11.472019857311123 17.674171655029287 15.703552722749542 0.0 0.0 0.0
98	11.441567955581121 17.50157060466854 15.570961166368654 0.0 0.0 0.0
99	11.581119155080321 17.518929470652342 15.603905435737742 0.0 0.0 0.0
100	11.446290849264503 17.67349990733138 15.637736323404285 0.0 0.0 0.0
101	11.458275748071975 17.83905175685514 15.681067458812297 0.0 0.0 0.0
102	11.430067251344614 17.84137127308659 15.698830283043964 0.0 0.0 0.0
103	11.521069915771763 17.878029837276642 15.777838574403672 0.0 0.0 0.0
104	11.452994662065834 17.93984911448888 15.546747317887089 0.0 0.0 0.0
105	11.558260063513044 17.838913373548888 15.706934143809208 0.0 0.0 0.0
106	11.408803602986962 18.038994004554787 15.758579536760585 0.0 1.0 0.0
107	11.266226753967143 18.111999321630428 15.814175088499237 0.0 0.0 0.0
108	11.244833328751053 18.043736691235612 15.91824529922869 0.0 0.0 0.0
109	11.348130356945676 18.10311470810644 16.119943728250846 0.0 0.0 0.0
110	11.267536581918455 18.005278600870685 16.187939815445038 0.0 0.0 0.0
111	11.27609697765164 18.10517115081267 15.97380528656401 0.0 0.0 0.0
112	11.20833758099197 18.01908497264619 16.209309383254652 0.0 1.0 0.0
113	11.400418601021855 17.92126688987877 16.569804981401596 0.0 1.0 0.0
114	11.617117216963166 17.80684234470342 16.3878491996842 0.0 1.0 0.0
115	11.45510786869394 17.941893286513572 16.482303708335657 0.0 1.0 0.0
116	11.346619352836349 18.010026274219626 16.483461406060545 0.0 1.0 0.0
117	11.182072856662359 18.100015411504643 16.49246307862527 1.0 1.0 0.0
118	11.350857493515692 18.051043015459424 16.596911737782854 0.0 1.0 0.0
119	11.431055617166082 17.898748610812262 16.552251508831812 0.0 0.0 0.0
120	11.62001946473108 17.89057155459899 16.633635493560345 0.0 1.0 0.0
121	11.470233310446229 17.990397138015954 16.484504914127967 0.0 0.0 0.0
122	11.47995387339641 18.07753358688233 16.59038370175879 0.0 1.0 0.0
123	11.47029548237407 18.237041730493058 16.474225831282876 0.0 1.0 0.0
124	11.281688635582258 18.268987163322475 16.41031183254495 0.0 1.0 0.0
125	11.275323303249312 18.07574225378306 16.407726611795464 0.0 1.0 0.0
126	11.301114980529016 18.295311541252275 16.3950169038364 0.0 1.0 0.0
127	11.293949534683192 18.25452436345043 16.615016549576904 0.0 1.0 0.0
128	11.119638362730601 18.322296128103734 16.676017122445234 0.0 1.0 0.0
129	11.04435154977402 18.605182240019648 16.547362751674836 0.0 1.0 0.0
130	11.123388295833694 18.62125875766031 16.45170404811475 0.0 1.0 0.0
131	11.367614979334034 18.6089448180141 16.555180480841322 0.0 1.0 0.0
132	11.043621385138731 18.58069643384826 16.841256093690227 0.0 1.0 0.0
133	10.936843880331963 18.494141390992443 16.79091948187051 0.0 1.0 0.0
134	10.954485931978692 18.573286599953512 16.772609322426725 0.0 1.0 0.0
135	11.017568124549223 18.872797627644843 16.76321581070157 1.0 1.0 0.0
136	11.09336920082297 19.039020679438092 16.92590511970742 1.0 1.0 1.0
137	10.925705594228903 19.331114935187298 16.937634557456345 1.0 1.0 1.0
138	11.056479783941397 19.58462113107826 17.100839990992252 1.0 1.0 1.0
139	11.326793190064555 19.977083073876862 17.293924969052625 1.0 1.0 1.0
140	11.408853588347089 20.253612968274986 17.197568971542186 1.0 0.0 1.0
141	11.793242862005657 20.21149064743525 17.011609909130645 1.0 0.0 1.0
142	11.160382764026386 20.23473476270387 16.92597922759449 1.0 0.0 1.0
143	11.399540546202632 20.36881444318324 17.0705346748579 1.0 0.0 1.0
144	11.132061342840064 20.193607251698925 17.139102623537944 0.0 1.0 1.0
145	11.28961976379877 20.141132838546152 16.81347653292067 1.0 0.0 1.0
146	11.51321527711625 20.540734763428436 17.231438535024022 1.0 0.0 1.0
147	11.504437546147809 20.592342840719937 17.40378921545289 1.0 0.0 1.0
148	11.657597753693086 20.459407824095873 17.343052103964247 1.0 0.0 1.0
149	11.51287450853747 20.507445263688325 17.391413647115876 1.0 0.0 1.0
150	11.329282297097095 20.471224753956157 17.294330334865954 1.0 1.0 1.0
151	11.693549914646036 20.5657521463908 17.37694057633878 1.0 0.0 1.0
152	11.558740680318211 20.592101513747927 17.235213311099457 1.0 0.0 1.0
153	11.521266926259475 20.57411563302265 17.42074374694959 1.0 0.0 1.0
154	11.521685463704115 20.702219264285375 17.35771757596988 1.0 0.0 1.0
