iter_limit,population_size,init_mutation,min_mutation,elite_size,base_penalty,penalty_exponent,feasibility_phase,adaptive_penalty,avg_cv0,valid_rate
100,100,0.01,0.005,20,1000000.0,1,0.2,True,-174273.83299297647,1.0
50,200,0.01,0.01,40,100000.0,1,0.4,True,-171925.25554882083,1.0
150,300,0.1,0.01,20,1000000.0,1,0.2,False,-185500.0,1.0
150,200,0.01,0.01,40,1000000.0,3,0.4,True,-185112.3350463975,1.0
150,100,0.01,0.02,10,10000000.0,1,0.2,False,-182915.93885816727,1.0
100,200,0.05,0.02,10,100000.0,1,0.3,False,-185500.0,1.0
50,500,0.2,0.005,20,100000.0,2,0.4,True,-185500.0,1.0
250,500,0.3,0.001,20,1000000.0,3,0.4,True,-185500.0,1.0
50,400,0.3,0.02,10,1000000.0,2,0.5,True,-185500.0,1.0
200,500,0.05,0.001,10,100000.0,2,0.4,True,-185500.0,1.0
50,200,0.1,0.001,40,10000000.0,1,0.3,False,-168441.44984947407,1.0
50,200,0.05,0.02,10,1000000.0,2,0.3,False,-183730.95430395758,1.0
50,500,0.05,0.005,20,100000.0,2,0.2,False,-185500.0,1.0
100,500,0.3,0.02,10,100000.0,1,0.3,True,-185500.0,1.0
150,100,0.1,0.02,40,100000.0,1,0.5,True,-184204.64614897175,1.0
250,300,0.3,0.02,40,10000000.0,3,0.3,False,-185500.0,1.0
50,200,0.05,0.001,10,1000000.0,3,0.4,True,-155552.24765003598,1.0
100,500,0.01,0.001,40,10000000.0,3,0.4,True,-181043.9027513887,1.0
250,500,0.3,0.001,10,100000.0,1,0.4,False,-185500.0,1.0
200,500,0.01,0.005,40,1000000.0,1,0.5,True,-185500.0,1.0
150,100,0.01,0.001,30,1000000.0,3,0.3,False,-151760.27770034672,1.0
250,100,0.1,0.001,40,1000000.0,2,0.4,False,-174652.87101222412,1.0
150,300,0.2,0.005,10,10000000.0,2,0.5,True,-185500.0,1.0
50,100,0.05,0.005,40,1000000.0,3,0.5,False,-134775.28521652817,1.0
100,300,0.05,0.005,20,100000.0,3,0.4,False,-185500.0,1.0
200,500,0.05,0.001,30,10000000.0,1,0.2,False,-185500.0,1.0
200,100,0.1,0.005,30,10000000.0,2,0.3,True,-184907.17060266813,1.0
150,300,0.2,0.001,40,10000000.0,1,0.3,True,-185500.0,1.0
100,300,0.01,0.005,30,100000.0,1,0.5,True,-182245.16336702887,1.0
100,500,0.2,0.02,40,10000000.0,3,0.3,False,-185500.0,1.0
200,100,0.05,0.01,20,1000000.0,2,0.4,True,-185500.0,1.0
50,500,0.2,0.005,10,100000.0,2,0.2,False,-185500.0,1.0
50,500,0.05,0.001,20,10000000.0,1,0.2,True,-185387.33170344334,1.0
200,300,0.05,0.005,40,100000.0,3,0.3,False,-185500.0,1.0
50,500,0.1,0.001,10,100000.0,2,0.2,False,-185500.0,1.0
200,200,0.05,0.01,40,100000.0,1,0.2,True,-185500.0,1.0
200,100,0.2,0.005,10,100000.0,3,0.4,False,-184247.640926706,1.0
150,300,0.01,0.001,40,100000.0,1,0.5,True,-155407.76152908654,1.0
50,200,0.3,0.02,30,100000.0,2,0.5,True,-185184.6499601972,1.0
250,100,0.3,0.01,10,10000000.0,1,0.3,False,-185500.0,1.0
250,500,0.1,0.001,10,1000000.0,1,0.2,True,-185500.0,1.0
100,100,0.2,0.005,30,1000000.0,2,0.3,True,-181289.66645115527,1.0
200,300,0.05,0.001,30,100000.0,2,0.5,True,-185313.5355444231,1.0
50,400,0.1,0.02,30,10000000.0,3,0.2,True,-185500.0,1.0
150,400,0.05,0.01,40,1000000.0,1,0.5,True,-185500.0,1.0
200,200,0.1,0.005,10,10000000.0,1,0.2,True,-185500.0,1.0
100,400,0.2,0.02,10,100000.0,1,0.5,False,-185500.0,1.0
50,400,0.01,0.02,20,100000.0,3,0.2,False,-185500.0,1.0
50,300,0.01,0.005,30,10000000.0,2,0.4,True,-175135.43158824785,1.0
150,100,0.05,0.02,20,10000000.0,1,0.5,True,-185500.0,1.0
150,400,0.01,0.02,20,1000000.0,3,0.4,False,-185500.0,1.0
50,400,0.2,0.001,30,1000000.0,2,0.4,True,-181697.37192199257,1.0
150,100,0.1,0.02,40,1000000.0,3,0.2,True,-185500.0,1.0
50,500,0.1,0.02,40,10000000.0,1,0.4,True,-185500.0,1.0
200,300,0.05,0.005,40,10000000.0,3,0.5,False,-185500.0,1.0
150,300,0.2,0.005,10,100000.0,1,0.4,False,-185500.0,1.0
250,100,0.2,0.001,30,10000000.0,2,0.3,True,-185500.0,1.0
200,200,0.2,0.001,10,100000.0,3,0.5,True,-184800.0034583424,1.0
100,300,0.1,0.001,10,100000.0,2,0.5,True,-175473.71769120856,1.0
200,200,0.3,0.001,40,10000000.0,2,0.2,True,-185500.0,1.0
200,200,0.01,0.02,20,1000000.0,2,0.4,True,-185500.0,1.0
100,500,0.1,0.01,30,10000000.0,2,0.2,False,-185500.0,1.0
150,300,0.01,0.02,10,100000.0,1,0.3,True,-185500.0,1.0
50,400,0.05,0.001,40,10000000.0,3,0.4,False,-172775.67884975424,1.0
100,300,0.2,0.02,40,100000.0,1,0.5,True,-185500.0,1.0
250,500,0.05,0.01,10,10000000.0,1,0.4,False,-185500.0,1.0
150,200,0.01,0.01,40,100000.0,3,0.5,False,-184205.51785709063,1.0
100,300,0.1,0.001,30,10000000.0,3,0.3,True,-184796.9263690053,1.0
250,200,0.01,0.001,40,100000.0,1,0.3,True,-177120.58927894197,1.0
200,300,0.05,0.005,20,1000000.0,2,0.5,False,-185500.0,1.0
150,300,0.05,0.005,30,10000000.0,2,0.4,False,-185500.0,1.0
100,500,0.3,0.02,40,1000000.0,3,0.3,True,-185500.0,1.0
150,500,0.2,0.02,10,10000000.0,1,0.2,True,-185500.0,1.0
50,300,0.1,0.01,40,1000000.0,3,0.5,False,-185500.0,1.0
150,100,0.1,0.001,20,10000000.0,3,0.3,False,-155697.53299141474,1.0
50,200,0.1,0.005,10,10000000.0,2,0.5,True,-169391.0851967205,1.0
150,500,0.05,0.02,10,1000000.0,2,0.5,True,-185500.0,1.0
200,400,0.05,0.005,10,1000000.0,3,0.3,True,-185500.0,1.0
150,300,0.01,0.02,30,10000000.0,2,0.3,True,-185500.0,1.0
50,400,0.01,0.001,10,10000000.0,3,0.5,True,-149980.2823848009,1.0
100,500,0.2,0.001,10,100000.0,2,0.3,False,-185500.0,1.0
150,500,0.05,0.01,20,10000000.0,1,0.3,True,-185500.0,1.0
100,500,0.2,0.005,30,100000.0,2,0.3,True,-185500.0,1.0
250,300,0.2,0.01,20,1000000.0,3,0.5,True,-185500.0,1.0
200,400,0.01,0.001,10,1000000.0,2,0.2,True,-185500.0,1.0
